,ALG,DATASET,method,vMAE,vSTD,eMAE,vs
0,GradientBoostingRegressor,FCT,SL,1.1088131181565744,0.14811199525648203,0.8484402842419874,[-1.25641396 -0.92957758 -0.94731379 -1.27968362 -1.13107664]
1,BaggingRegressor,FCT,SL,1.2205020547945207,0.24812033416872104,0.9626301369863013,[-1.12993151 -0.92128425 -1.02491438 -1.52895548 -1.49742466]
2,KNeighborsRegressor,FCT,SL,1.0609296803652968,0.20415638083574572,0.8751232876712329,[-1.22839041 -0.8375     -0.84811644 -1.35188356 -1.03875799]
3,AdaBoostRegressor,FCT,SL,1.167509252708873,0.1884889215550926,0.9166014191970779,[-1.10012173 -1.03315525 -0.92767335 -1.39228026 -1.38431567]
4,LinearRegression,FCT,SL,1.1237255327479718,0.16424163524326632,0.8320212632033268,[-1.28182203 -0.9184252  -0.92992074 -1.26800974 -1.22044996]
5,SVR,FCT,SL,1.08129889495654,0.13754455439531785,0.844089840598557,[-1.07937891 -0.93227538 -0.94523651 -1.30443119 -1.14517248]
6,DecisionTreeRegressor,FCT,SL,1.4390035744066476,0.37460798605493206,1.3782905251141553,[-1.091174   -1.12877426 -1.25340753 -1.64391475 -2.07774734]
7,RandomForestRegressor,FCT,SL,1.2083548337505081,0.23576102271804042,1.0545572202356692,[-1.11614579 -0.9293294  -1.02541657 -1.53307772 -1.43780469]
8,MLPRegressor,FCT,SL,1.1935453888263345,0.25783048053939694,0.9183093563705185,[-1.46260055 -0.79390924 -1.17960611 -1.47751959 -1.05409145]
9,Lasso,FCT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
10,GradientBoostingRegressor,FPT,SL,1.1199211841215662,0.16203298494418036,0.8339094072181114,[-1.27829533 -0.94382948 -0.93601965 -1.32329262 -1.11816885]
11,BaggingRegressor,FPT,SL,1.3367621004566208,0.1258975755282205,0.9362465753424658,[-1.34222603 -1.30273973 -1.12111301 -1.42936644 -1.4883653 ]
12,KNeighborsRegressor,FPT,SL,1.1969761542364281,0.18334092511550076,0.8571080669710807,[-1.3875     -0.96482116 -1.07501903 -1.43628234 -1.12125824]
13,AdaBoostRegressor,FPT,SL,1.1968728614927886,0.05293383073722197,0.9280028914810596,[-1.27118939 -1.14835376 -1.17177839 -1.14406701 -1.24897576]
14,LinearRegression,FPT,SL,1.1333666720908255,0.1721862936357622,0.8243178047506138,[-1.21369135 -0.88605909 -1.06978135 -1.4067703  -1.09053127]
15,SVR,FPT,SL,1.0805400370895373,0.14392676070425764,0.7709892594761957,[-1.21415029 -0.93398137 -0.91144123 -1.26923253 -1.07389477]
16,DecisionTreeRegressor,FPT,SL,1.4221319707309434,0.30701634741268324,1.1946264009962642,[-1.27643309 -1.26171233 -1.29025781 -2.03547776 -1.24677886]
17,RandomForestRegressor,FPT,SL,1.2616839921288099,0.17504472609163932,0.9291633346551201,[-1.36796261 -1.05670505 -1.09363229 -1.52935832 -1.26076168]
18,MLPRegressor,FPT,SL,1.4695053103772227,0.15624726889488402,1.1324823883734665,[-1.1959497  -1.44058078 -1.65251072 -1.58294863 -1.47553671]
19,Lasso,FPT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
20,GradientBoostingRegressor,SPT,SL,1.1093510596539171,0.16241352787502594,0.8252776737175092,[-1.28647505 -0.9158109  -0.92386805 -1.27462204 -1.14597926]
21,BaggingRegressor,SPT,SL,1.1781511415525114,0.1226355822923418,1.0094657534246574,[-1.35660959 -0.97714041 -1.1877226  -1.22184932 -1.14743379]
22,KNeighborsRegressor,SPT,SL,1.1010913242009133,0.1764806601191548,0.9632328767123288,[-1.19575342 -0.89219178 -1.0265411  -1.39517123 -0.99579909]
23,AdaBoostRegressor,SPT,SL,1.0483194027194525,0.09370036749588544,0.7803220934316826,[-1.10588051 -0.86259073 -1.09355075 -1.07239083 -1.1071842 ]
24,LinearRegression,SPT,SL,1.1443347747361254,0.13714628560703127,0.8074457125408807,[-1.24049736 -0.9134038  -1.06982093 -1.29379395 -1.20415784]
25,SVR,SPT,SL,1.0599577622996967,0.14943643491977013,0.8054046015072227,[-1.19167595 -0.94106668 -0.8843209  -1.27565644 -1.00706883]
26,DecisionTreeRegressor,SPT,SL,1.4662476724356759,0.23608302899319167,1.2086120624048706,[-1.57692678 -1.31473322 -1.10086934 -1.78653682 -1.55217221]
27,RandomForestRegressor,SPT,SL,1.1490172204744866,0.1655219266642305,0.9849065274527844,[-1.26410594 -1.00958186 -0.98103126 -1.41486662 -1.07550041]
28,MLPRegressor,SPT,SL,1.5648583858538352,0.26918360177988504,1.29978959904462,[-1.3954155  -1.99494372 -1.31982376 -1.76735307 -1.34675588]
29,Lasso,SPT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
30,GradientBoostingRegressor,SCT,SL,1.0960000015787457,0.1676574656785076,0.8244387960383144,[-1.28043396 -0.89150315 -0.91287953 -1.27017073 -1.12501264]
31,BaggingRegressor,SCT,SL,1.3252422374429227,0.14509081895014928,0.7382328767123288,[-1.48101027 -1.12366438 -1.22726027 -1.49818493 -1.29609132]
32,KNeighborsRegressor,SCT,SL,1.1200984271943175,0.18290460130407363,0.8640943683409438,[-1.3114726  -0.87252664 -0.99834475 -1.34817352 -1.06997463]
33,AdaBoostRegressor,SCT,SL,1.182354894525878,0.187048876021977,0.7913035750826237,[-1.31121125 -0.90580693 -1.04919271 -1.43387203 -1.21169155]
34,LinearRegression,SCT,SL,1.1327149501786142,0.13095809211932902,0.8187748924501351,[-1.24858488 -0.90655983 -1.06298354 -1.21521747 -1.23022902]
35,SVR,SCT,SL,1.0796266319651289,0.14567056410658605,0.7686710920047534,[-1.21560264 -0.93245615 -0.91123124 -1.2730258  -1.06581734]
36,DecisionTreeRegressor,SCT,SL,1.5370279911637565,0.2408348915805435,1.040001630789302,[-1.86539735 -1.18345984 -1.39554061 -1.72821248 -1.51252968]
37,RandomForestRegressor,SCT,SL,1.2622127193299406,0.08227040181945018,0.7674519878268284,[-1.29408797 -1.22028468 -1.13628613 -1.38481652 -1.2755883 ]
38,MLPRegressor,SCT,SL,1.7262055531065266,0.17603690084632664,1.2595617944144608,[-2.07307506 -1.68736081 -1.6035934  -1.65465252 -1.61234597]
39,Lasso,SCT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
40,GradientBoostingRegressor,FCT+CT,SL,1.1020857209640786,0.1578502888832008,0.8391600730161736,[-1.28403137 -0.91767681 -0.92848853 -1.26705122 -1.11318067]
41,BaggingRegressor,FCT+CT,SL,1.1540598173515981,0.16317140313692288,1.0152465753424658,[-1.15436644 -0.95813356 -0.99068493 -1.3760274  -1.29108676]
42,KNeighborsRegressor,FCT+CT,SL,1.1070710402203545,0.18083717448520883,0.7606978258314924,[-1.12141907 -0.81899694 -1.04381931 -1.37440342 -1.17671646]
43,AdaBoostRegressor,FCT+CT,SL,1.1015533476839656,0.12718610763819968,0.9049020958936961,[-1.04373394 -0.89460949 -1.14607754 -1.27677917 -1.1465666 ]
44,LinearRegression,FCT+CT,SL,1.1178815610696622,0.16001335915184037,0.8475513743787604,[-1.28781626 -0.8933889  -0.95875091 -1.24193985 -1.20751188]
45,SVR,FCT+CT,SL,1.0797871816309876,0.14265829157062832,0.7705581592432259,[-1.21300979 -0.93267525 -0.9131251  -1.26569526 -1.07443052]
46,DecisionTreeRegressor,FCT+CT,SL,1.3112945205479452,0.13565599845033166,1.0776712328767124,[-1.34366438 -1.06386986 -1.48065068 -1.33732877 -1.3309589 ]
47,RandomForestRegressor,FCT+CT,SL,1.0917288666127758,0.1588222765072935,0.9250237658384229,[-1.15296247 -0.87473263 -0.95500699 -1.3210951  -1.15484714]
48,MLPRegressor,FCT+CT,SL,1.2091789313554329,0.14745435583414707,0.8985772678848098,[-1.13984823 -1.23720692 -1.08543634 -1.48430145 -1.09910172]
49,Lasso,FCT+CT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
50,GradientBoostingRegressor,SCT+CT,SL,1.0907148656104018,0.15081062283474375,0.8247246880121756,[-1.24914111 -0.91972995 -0.91965895 -1.26396914 -1.10107518]
51,BaggingRegressor,SCT+CT,SL,1.2235547945205478,0.08690914129851929,1.0237534246575342,[-1.18635274 -1.08912671 -1.20815068 -1.33414384 -1.3       ]
52,KNeighborsRegressor,SCT+CT,SL,1.1620892947742265,0.15241270288476758,0.8221308980213088,[-1.17676941 -0.91824581 -1.13898402 -1.39804033 -1.1784069 ]
53,AdaBoostRegressor,SCT+CT,SL,1.1896028856417096,0.14955055494824582,0.7916990720154191,[-1.06977668 -1.09986298 -1.05286656 -1.43608814 -1.28942006]
54,LinearRegression,SCT+CT,SL,1.110065036980765,0.1541504311277872,0.8539149433861661,[-1.24283518 -0.9743349  -0.91066842 -1.31737554 -1.10511115]
55,SVR,SCT+CT,SL,1.0805221459863261,0.1421434020474981,0.7684103764374476,[-1.20744616 -0.93390893 -0.9186624  -1.27312982 -1.06946342]
56,DecisionTreeRegressor,SCT+CT,SL,1.3445674639414364,0.14409751066850365,1.1136299613628382,[-1.24382542 -1.58978922 -1.4295181  -1.22884239 -1.23086218]
57,RandomForestRegressor,SCT+CT,SL,1.176840141784615,0.11260040575290486,0.751697143069331,[-1.13896701 -0.97574971 -1.26996697 -1.28304317 -1.21647385]
58,MLPRegressor,SCT+CT,SL,1.3298383509123275,0.19963404168237606,0.9919032957043742,[-1.28912433 -1.2597907  -1.16350118 -1.72002691 -1.21674864]
59,Lasso,SCT+CT,SL,1.1098774580777893,0.15419730363711415,0.8539654610813441,[-1.24275232 -0.97343813 -0.91072157 -1.31707189 -1.10540338]
60,GradientBoostingRegressor,CCT,SL,1.124447619784123,0.1652739356942761,0.8269487529009357,[-1.29847616 -0.93120079 -0.94211427 -1.31294492 -1.13750196]
61,BaggingRegressor,CCT,SL,1.3518301369863015,0.1475435604849308,1.0049726027397263,[-1.30753425 -1.48869863 -1.11219178 -1.52513699 -1.32558904]
62,KNeighborsRegressor,CCT,SL,1.205618721461187,0.14167194098466604,0.8587062404870623,[-1.33500761 -1.04031583 -1.05072298 -1.21708524 -1.38496195]
63,AdaBoostRegressor,CCT,SL,1.2776767101859243,0.19352082158600364,0.8248037697995573,[-1.35650851 -1.01998584 -1.09278005 -1.54407265 -1.3750365 ]
64,LinearRegression,CCT,SL,1.1501931070771838,0.13109685540457505,0.8451433262168624,[-1.28437463 -0.96252027 -1.02289035 -1.24944765 -1.23173263]
65,SVR,CCT,SL,1.0761277841501673,0.15233132896702445,0.8009920436171942,[-1.22044101 -0.93508382 -0.87704096 -1.26485683 -1.0832163 ]
66,DecisionTreeRegressor,CCT,SL,1.3768484172846585,0.2762725893455795,1.139678035597801,[-1.57022404 -1.18232761 -1.0878451  -1.8225755  -1.22126984]
67,RandomForestRegressor,CCT,SL,1.3177213073473582,0.13494431430995804,0.8380725532018982,[-1.39396036 -1.16484378 -1.18350318 -1.52712352 -1.31917571]
68,MLPRegressor,CCT,SL,1.3936308256647567,0.17432803627498347,1.077914950692623,[-1.19800209 -1.21440536 -1.67037453 -1.45160345 -1.43376869]
69,Lasso,CCT,SL,1.0935485310147492,0.1630423142640864,0.816576260589807,[-1.26720946 -0.91097718 -0.88612889 -1.24045187 -1.16297525]
70,GradientBoostingRegressor,CPT,SL,1.1011055860266157,0.15410299856907478,0.8218931859978047,[-1.27311738 -0.8998808  -0.94779388 -1.2575488  -1.12718707]
71,BaggingRegressor,CPT,SL,1.1953139269406392,0.17560858681636632,1.024958904109589,[-1.41381849 -0.95020548 -1.03078767 -1.31363014 -1.26812785]
72,KNeighborsRegressor,CPT,SL,1.2697298325722985,0.18874086638276275,0.9353729071537291,[-1.4930175  -0.99562405 -1.16718037 -1.47060502 -1.22222222]
73,AdaBoostRegressor,CPT,SL,1.1465869134550402,0.10150889080370322,0.8060924094512497,[-1.27226099 -1.13039767 -0.96525787 -1.18124568 -1.18377236]
74,LinearRegression,CPT,SL,1.2020192488356947,0.17857143923728266,0.8488386896543301,[-1.25437818 -1.00185464 -1.09513895 -1.5201181  -1.13860637]
75,SVR,CPT,SL,1.0827915362130183,0.1433913307082063,0.7693028542472987,[-1.21515923 -0.94043836 -0.91201224 -1.27195706 -1.07439079]
76,DecisionTreeRegressor,CPT,SL,1.3552613298287353,0.10774108208074026,1.4746355185909983,[-1.36895847 -1.4237323  -1.50963605 -1.21094178 -1.26303805]
77,RandomForestRegressor,CPT,SL,1.2315733563992226,0.13773433193814777,0.9256871134882317,[-1.41356181 -1.08168985 -1.05981042 -1.30406547 -1.29873924]
78,MLPRegressor,CPT,SL,1.3897940440409307,0.20797461405773743,0.8732208395425353,[-1.71318794 -1.06184108 -1.34983254 -1.38428316 -1.43982551]
79,Lasso,CPT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
80,GradientBoostingRegressor,CCT+CT,SL,1.1148875853652096,0.16276911095591995,0.8265757423624203,[-1.30651013 -0.92149662 -0.92876068 -1.2638539  -1.15381659]
81,BaggingRegressor,CCT+CT,SL,1.3845267123287672,0.13228715626367057,0.9935342465753424,[-1.47525685 -1.23142123 -1.24066781 -1.40438356 -1.57090411]
82,KNeighborsRegressor,CCT+CT,SL,1.1839781836631151,0.12746604803843117,0.8837290715372907,[-1.3636796  -1.06750381 -1.01436454 -1.25898021 -1.21536276]
83,AdaBoostRegressor,CCT+CT,SL,1.2069880717225563,0.20822738738768945,0.7702205619228639,[-1.3275998  -0.94946553 -0.98524238 -1.28039233 -1.49224031]
84,LinearRegression,CCT+CT,SL,1.1664454500034318,0.11713818645948856,0.8327435008621945,[-1.28776133 -0.95472458 -1.13614419 -1.2475391  -1.20605805]
85,SVR,CCT+CT,SL,1.0828856995266025,0.14167532826299284,0.7793872039354853,[-1.21222971 -0.93562681 -0.91499087 -1.26660119 -1.08497992]
86,DecisionTreeRegressor,CCT+CT,SL,1.597990188172043,0.19697328971758107,1.2460502283105022,[-1.85202177 -1.39324731 -1.65308994 -1.34697917 -1.74461276]
87,RandomForestRegressor,CCT+CT,SL,1.2456038310761628,0.14963215962132995,0.8799151525272704,[-1.43669848 -1.0663933  -1.07898221 -1.28065991 -1.36528526]
88,MLPRegressor,CCT+CT,SL,1.3891160089333456,0.1735946180024647,0.8256582988224093,[-1.6288028  -1.31946482 -1.20423139 -1.56098176 -1.23209928]
89,Lasso,CCT+CT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
90,GradientBoostingRegressor,FPT+PT,SL,1.107061626161719,0.14582603108189546,0.8548828534036627,[-1.28602227 -0.93302578 -0.95601332 -1.25264626 -1.10760051]
91,BaggingRegressor,FPT+PT,SL,1.2590824200913242,0.1476295078871684,1.0807671232876712,[-1.53462329 -1.16027397 -1.12445205 -1.2842637  -1.19179909]
92,KNeighborsRegressor,FPT+PT,SL,1.2056329274479962,0.17284090080647505,0.8715677321156772,[-1.47697869 -0.98281963 -1.1162481  -1.31898782 -1.13313039]
93,AdaBoostRegressor,FPT+PT,SL,1.2000691763078852,0.1840454131409991,1.0907998409826658,[-1.26384749 -1.20423857 -0.99058917 -1.50682362 -1.03484704]
94,LinearRegression,FPT+PT,SL,1.1067164100974536,0.15267530854268654,0.8089704122830513,[-1.281197   -0.91900039 -0.94698077 -1.26528868 -1.12111521]
95,SVR,FPT+PT,SL,1.0798268937275182,0.14137151941834228,0.764161178407605,[-1.21115098 -0.93569942 -0.91562588 -1.26652161 -1.07013658]
96,DecisionTreeRegressor,FPT+PT,SL,1.5567956621004568,0.2585629339026552,1.6323744292237443,[-1.7380137  -1.90530822 -1.14726027 -1.4465468  -1.54684932]
97,RandomForestRegressor,FPT+PT,SL,1.2399627853881277,0.1354969398945747,1.0474794520547948,[-1.50020548 -1.19184932 -1.10450342 -1.21691781 -1.1863379 ]
98,MLPRegressor,FPT+PT,SL,1.6794323685405785,0.10565817974068795,1.443653664329089,[-1.5506286  -1.81723109 -1.77009138 -1.57021329 -1.68899747]
99,Lasso,FPT+PT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
100,GradientBoostingRegressor,CPT+PT,SL,1.115176814599573,0.14855113383170146,0.8319601371310086,[-1.27931565 -0.93752383 -0.94883871 -1.26832192 -1.14188396]
101,BaggingRegressor,CPT+PT,SL,1.3309155251141553,0.12087239209067231,0.9615753424657536,[-1.36708904 -1.10618151 -1.31481164 -1.42914384 -1.4373516 ]
102,KNeighborsRegressor,CPT+PT,SL,1.1707050566019774,0.15758106128191168,0.8428948105782508,[-1.30341617 -0.86161109 -1.2330245  -1.245325   -1.21014853]
103,AdaBoostRegressor,CPT+PT,SL,1.2328467588330352,0.15518000061094384,0.8923327442829588,[-1.24364434 -1.07283293 -1.12817159 -1.52025404 -1.19933089]
104,LinearRegression,CPT+PT,SL,1.1190200119425846,0.11356852471005262,0.7955494591747951,[-1.29515873 -1.04867685 -1.01454176 -1.21216826 -1.02455446]
105,SVR,CPT+PT,SL,1.0810622360712565,0.14051086205789803,0.762056873982233,[-1.21248708 -0.94086049 -0.91566293 -1.2662877  -1.07001298]
106,DecisionTreeRegressor,CPT+PT,SL,1.4001607114246806,0.11157425474949836,0.8088351090816847,[-1.2152968  -1.35271526 -1.53200613 -1.40923068 -1.49155469]
107,RandomForestRegressor,CPT+PT,SL,1.260019004978987,0.13901197550744732,0.8984086077506965,[-1.2994474  -1.00542999 -1.23256196 -1.37558629 -1.38706937]
108,MLPRegressor,CPT+PT,SL,1.5060975518978073,0.13371939008122335,0.9594332956800902,[-1.34324768 -1.39831953 -1.62497944 -1.69515595 -1.46878516]
109,Lasso,CPT+PT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
110,GradientBoostingRegressor,SPT+PT,SL,1.1124857110108795,0.13770097251682367,0.8366355192913266,[-1.29011007 -0.95247246 -0.96038253 -1.23204665 -1.12741685]
111,BaggingRegressor,SPT+PT,SL,1.240398401826484,0.08512523271866997,0.9129315068493151,[-1.38357877 -1.26547945 -1.13491438 -1.24066781 -1.1773516 ]
112,KNeighborsRegressor,SPT+PT,SL,1.1457309260266093,0.15007758999418383,0.8301612381414601,[-1.36522154 -0.9967519  -0.99417279 -1.27567287 -1.09683553]
113,AdaBoostRegressor,SPT+PT,SL,1.2048988051645906,0.1769989071160938,0.7460220064881039,[-1.46555559 -0.91129547 -1.20090788 -1.19336693 -1.25336817]
114,LinearRegression,SPT+PT,SL,1.110403425105495,0.11931592766594142,0.7937499541767996,[-1.26372354 -0.95396258 -1.05210939 -1.23575904 -1.04646258]
115,SVR,SPT+PT,SL,1.0783332085551514,0.14228773400431868,0.762524950390796,[-1.21173339 -0.93655352 -0.91174505 -1.26649835 -1.06513574]
116,DecisionTreeRegressor,SPT+PT,SL,1.4495058387521087,0.037477413919115896,0.8263561643835617,[-1.49115705 -1.49139066 -1.42341299 -1.39625951 -1.44530898]
117,RandomForestRegressor,SPT+PT,SL,1.2117067971349424,0.11401253725963972,0.7572240826677122,[-1.41034065 -1.13574397 -1.08538326 -1.16991981 -1.2571463 ]
118,MLPRegressor,SPT+PT,SL,1.4713724550597895,0.1694332814522134,1.1461851470890683,[-1.51055011 -1.43064755 -1.16604171 -1.62873972 -1.62088319]
119,Lasso,SPT+PT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
120,GradientBoostingRegressor,clinical,SL,1.122725911327859,0.15477379740880395,0.8218445332041784,[-1.24808964 -1.02794155 -0.9031488  -1.33764139 -1.09680817]
121,BaggingRegressor,clinical,SL,1.2927100456621006,0.20180317377112889,1.0631095890410958,[-1.30335616 -1.20294521 -1.18058219 -1.67520548 -1.10146119]
122,KNeighborsRegressor,clinical,SL,1.1831131329103381,0.18479096118521882,0.966610229185528,[-1.25777748 -1.12021046 -0.8914586  -1.45902759 -1.18709154]
123,AdaBoostRegressor,clinical,SL,1.292452715773249,0.2692572807992423,0.8343376062176266,[-1.48605047 -1.05777203 -0.94123582 -1.67520303 -1.30200222]
124,LinearRegression,clinical,SL,1.1827930974144072,0.20021851999895346,0.8673625012977375,[-1.38715372 -1.13781789 -0.84117585 -1.38194763 -1.16587039]
125,SVR,clinical,SL,1.1031071059655715,0.1368470560573351,0.753155500333271,[-1.20518856 -1.03051937 -0.90822637 -1.30045454 -1.0711467 ]
126,DecisionTreeRegressor,clinical,SL,1.3892294520547945,0.19550354013890386,1.131810289901243,[-1.36436454 -1.38310502 -1.05833904 -1.6581621  -1.48217656]
127,RandomForestRegressor,clinical,SL,1.2468540573413662,0.22811728764625194,1.0137286455168968,[-1.34996405 -1.15632247 -0.97259063 -1.63450378 -1.12088936]
128,MLPRegressor,clinical,SL,1.1533861764014866,0.19452246766892195,0.7657105639400312,[-1.21813704 -1.08490534 -0.86235307 -1.46227583 -1.1392596 ]
129,Lasso,clinical,SL,1.119638970428354,0.14662518665847854,0.8141199930639846,[-1.26181235 -1.01849315 -0.91594368 -1.30663459 -1.09531107]
130,GradientBoostingRegressor,PT,SL,1.0903512795404917,0.15312111694641412,0.8317214051918601,[-1.24980638 -0.90542313 -0.9076862  -1.23032827 -1.15851243]
131,BaggingRegressor,PT,SL,1.2732365296803654,0.10896196407845113,0.7600821917808218,[-1.19493151 -1.31950342 -1.12527397 -1.28261986 -1.44385388]
132,KNeighborsRegressor,PT,SL,1.0913597410409763,0.12063537253375801,0.7712009543440527,[-1.23493422 -0.87601881 -1.1631377  -1.10906052 -1.07364745]
133,AdaBoostRegressor,PT,SL,1.1829648176303855,0.10179536916245703,0.7560582717812776,[-1.27578571 -1.02655774 -1.10408691 -1.21982491 -1.28856882]
134,LinearRegression,PT,SL,1.1000217580704048,0.10697570203735673,0.7936077278588571,[-1.24328211 -0.95854353 -1.08280003 -1.19791808 -1.01756504]
135,SVR,PT,SL,1.0740802876435693,0.11887490744112537,0.7608123778154945,[-1.19495257 -0.92538964 -1.07039791 -1.21911231 -0.960549  ]
136,DecisionTreeRegressor,PT,SL,1.278467810376871,0.16381046730014023,0.8556413768879523,[-1.0221098  -1.3859589  -1.1635949  -1.34355282 -1.47712263]
137,RandomForestRegressor,PT,SL,1.147861275626892,0.12037036355570802,0.9432805225851322,[-1.17313215 -1.09703326 -0.94191998 -1.26083205 -1.26638893]
138,MLPRegressor,PT,SL,1.2990854688511402,0.20302054166345257,1.085381676385452,[-0.96778475 -1.17090771 -1.49423763 -1.48989347 -1.37260378]
139,Lasso,PT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
140,GradientBoostingRegressor,CT,SL,1.130054384450877,0.1572451956035375,0.8311850884518744,[-1.32458199 -0.94035704 -0.96119728 -1.27467396 -1.14946165]
141,BaggingRegressor,CT,SL,1.2875397260273973,0.1512636054031905,0.9761643835616438,[-1.41544521 -1.17851027 -1.04934932 -1.44902397 -1.34536986]
142,KNeighborsRegressor,CT,SL,1.1951502027682728,0.12725905567203488,0.7863946772119521,[-1.24584291 -1.00705038 -1.08960477 -1.28220093 -1.35105202]
143,AdaBoostRegressor,CT,SL,1.1980212442752793,0.08051327953713514,0.9667237100715822,[-1.25601251 -1.04256214 -1.24697247 -1.24785558 -1.19670351]
144,LinearRegression,CT,SL,1.125014266442007,0.12835322326108653,0.8487664412711504,[-1.27255925 -0.95315039 -1.00731098 -1.25571968 -1.13633103]
145,SVR,CT,SL,1.0808777907723754,0.14218324432293766,0.7657006111550594,[-1.21333552 -0.93358733 -0.91644288 -1.26729374 -1.07372948]
146,DecisionTreeRegressor,CT,SL,1.7199450152207003,0.11742319208905179,1.0821917808219177,[-1.82089041 -1.68627283 -1.55030537 -1.6625     -1.87975647]
147,RandomForestRegressor,CT,SL,1.2416106893771601,0.14714393232861125,0.9167639065897448,[-1.36087875 -1.03171255 -1.10396494 -1.30588225 -1.40561495]
148,MLPRegressor,CT,SL,1.2702781084317816,0.1369079223133763,0.8484651347169478,[-1.35554562 -1.02431491 -1.25291812 -1.28931604 -1.42929585]
